Total_Emissions,City,Harvey,Event_Type,Event_Start_Date,Y,X,Zip,Total_2017_Events
"28,448",CORPUS CHRISTI,YES,EMISSIONS EVENT,8/24/2017,27.807986,-97.421667,78407,5
449,CLEBURNE,NO,MAINTENANCE,8/31/2017,32.385833,-97.394722,76031,4
360,CLEBURNE,NO,MAINTENANCE,9/6/2017,32.385833,-97.394722,76031,4
"14,875",GARDEN CITY,NO,EMISSIONS EVENT,8/24/2017,31.747037,-101.610135,79739,7
"108,826",,NO,EMISSIONS EVENT,9/3/2017,33.002774,-102.872977,77995,
"1,663",PECOS,NO,EMISSIONS EVENT,9/5/2017,31.52858,-103.566629,79772,1
"5,400",PORT NECHES,YES,EMISSIONS EVENT,9/5/2017,29.975267,-93.936086,77651,2
"54,137",FREEPORT,YES,EMISSIONS EVENT,8/27/2017,28.983139,-95.395556,77541,15
940,FREEPORT,NO,MAINTENANCE,9/5/2017,28.983139,-95.395556,77541,15
"12,554",MIDKIFF,YES,EMISSIONS EVENT,9/2/2017,31.735372,-101.797736,79755,11
"29,774",GARDEN CITY,NO,EMISSIONS EVENT,8/31/2017,,,79739,
"50,823",EL DORADO,NO,EMISSIONS EVENT,9/1/2017,,,76936,
"1,520",PENWELL,NO,EMISSIONS EVENT,8/29/2017,31.615348,-102.510621,79776,17
882,PENWELL,NO,EMISSIONS EVENT,8/29/2017,31.54588,-102.494045,79776,17
"1,542",PENWELL,NO,EMISSIONS EVENT,8/29/2017,31.596264,-102.509918,79776,19
"20,236",ANDREWS,NO,EMISSIONS EVENT,8/23/2017,32.10262,-102.695548,79714,16
"6,280",ANDREWS,NO,EMISSIONS EVENT,9/5/2017,32.10262,-102.695548,79714,16
"21,451",GOLDSMITH,NO,EMISSIONS EVENT,8/23/2017,32.096836,-102.715552,79741,16
"6,657",GOLDSMITH,NO,EMISSIONS EVENT,9/5/2017,32.096836,-102.715552,79741,16
"20,800",MONT BELVIEU,YES,AIR STARTUP,9/1/2017,29.837942,-94.890522,77580,7
"10,400",MONT BELVIEU,YES,AIR STARTUP,9/1/2017,29.837942,-94.890522,77580,7
540,MONT BELVIEU,YES,EMISSIONS EVENT,8/30/2017,29.837942,-94.890522,77580,7
"6,826",MONT BELVIEU,YES,EMISSIONS EVENT,8/27/2017,29.856179,-94.912274,77580,17
"1,204",MONT BELVIEU,YES,EMISSIONS EVENT,8/27/2017,29.856179,-94.912274,77580,17
"20,400",MONT BELVIEU,YES,AIR STARTUP,8/29/2017,29.856179,-94.912274,77580,17
"21,500",MONT BELVIEU,YES,EMISSIONS EVENT,9/1/2017,29.856179,-94.912274,77580,17
"29,850",MONT BELVIEU,YES,MAINTENANCE,9/1/2017,29.856179,-94.912274,77580,17
"5,157",CHANNELVIEW,YES,EMISSIONS EVENT,8/28/2017,29.833365,-95.11202,77530,11
346,CHANNELVIEW,UNKNOWN,EMISSIONS EVENT,9/3/2017,29.833365,-95.11202,77530,11
103,CHANNELVIEW,UNKNOWN,EMISSIONS EVENT,9/4/2017,29.833365,-95.11202,77530,11
404,LA PORTE,YES,EMISSIONS EVENT,8/23/2017,29.712048,-95.067803,77571,3
"3,422",LA PORTE,YES,EMISSIONS EVENT,8/27/2017,29.712048,-95.067803,77571,3
"10,300",CORPUS CHRISTI,YES,EMISSIONS EVENT,8/24/2017,27.810964,-97.593611,78410,12
"302,850",CORPUS CHRISTI,YES,AIR STARTUP,9/1/2017,27.810964,-97.593611,78411,12
"1,836",PENWELL,NO,EMISSIONS EVENT,8/29/2017,31.525597,-102.48499,79776,18
"371,246",BAYTOWN,YES,EMISSIONS EVENT,8/27/2017,29.739444,-95.006944,77520,22
"12,604",BAYTOWN,YES,EMISSIONS EVENT,8/27/2017,29.739444,-95.006944,77520,22
"4,185",BAYTOWN,YES,EMISSIONS EVENT,8/27/2017,29.739444,-95.006944,77520,22
"1,336",BEAUMONT,YES,EMISSIONS EVENT,8/27/2017,30.065833,-94.071388,77701,9
"86,542",BEAUMONT,YES,AIR SHUTDOWN,8/29/2017,30.065833,-94.071388,77701,9
"108,250",CORPUS CHRISTI,YES,AIR SHUTDOWN,8/24/2017,27.832011,-97.525582,78409,9
261,CORPUS CHRISTI,YES,EMISSIONS EVENT,8/25/2017,27.832011,-97.525582,78409,9
"217,000",CORPUS CHRISTI,YES,AIR STARTUP,8/29/2017,27.832011,-97.525582,78409,9
"29,410",CORPUS CHRISTI,YES,EMISSIONS EVENT,8/29/2017,27.832011,-97.525582,78409,9
"53,750",CORPUS CHRISTI,YES,AIR SHUTDOWN,8/24/2017,27.804407,-97.42488,78407,4
"98,750",CORPUS CHRISTI,YES,AIR STARTUP,8/29/2017,27.804407,-97.42488,78407,4
